date,press
12/1863,1015.88
01/1864,1012.43
02/1864,1005.29
03/1864,999.58
04/1864,1004.24
05/1864,1004.2
06/1864,1008.06
07/1864,1007.15
08/1864,1006.01
09/1864,1008.72
10/1864,997.16
11/1864,1007.43
12/1864,1005.82
01/1865,1005.85
02/1865,1009.25
03/1865,1007.68
04/1865,1005.43
05/1865,1005.69
06/1865,1007.57
07/1865,1007.95
08/1865,1007.25
09/1865,1008.22
10/1865,1004.31
11/1865,1005.47
12/1865,1013.68
01/1866,1014.37
02/1866,1009.19
03/1866,1001.07
04/1866,1003.44
05/1866,1003.26
06/1866,1006.75
07/1866,1008.02
08/1866,1006.52
09/1866,1008.06
10/1866,1007.16
11/1866,1010.54
12/1866,1013.64
01/1867,1003.12
02/1867,1016.61
03/1867,999.76
04/1867,1009.58
05/1867,1003.91
06/1867,1006.84
07/1867,1007.72
08/1867,1007.13
09/1867,1008.52
10/1867,1009.18
11/1867,1006.94
12/1867,1008.09
01/1868,1013.73
02/1868,1015.99
03/1868,1012.24
04/1868,1007.76
05/1868,1005.47
06/1868,1007.2
07/1868,1006.5
08/1868,1006.97
09/1868,1003.16
10/1868,1009.9
11/1868,1007.26
12/1868,1009.12
01/1869,1012.07
02/1869,1015.56
03/1869,1005.25
04/1869,1008.18
05/1869,1003.45
06/1869,1006.5
07/1869,1007.39
08/1869,1006.47
09/1869,1008.03
10/1869,1008.86
11/1869,1011.4
12/1869,1005.91
01/1870,1009.35
02/1870,999.64
03/1870,1002.46
04/1870,1007.08
05/1870,1007.22
06/1870,1007.64
07/1870,1005.64
08/1870,1004.26
09/1870,1007.87
10/1870,1010.01
11/1870,1004.39
12/1870,1003.45
01/1871,1009.38
02/1871,1011.93
03/1871,1005.44
04/1871,1006.98
05/1871,1001.13
06/1871,1007.02
07/1871,1007.45
08/1871,1007.59
09/1871,1004.88
10/1871,1006
11/1871,1003.51
12/1871,1008.71
01/1872,1008.79
02/1872,1005.85
03/1872,1002.7
04/1872,1004.9
05/1872,1006.34
06/1872,1007.45
07/1872,1005.91
08/1872,1006.82
09/1872,1005.66
10/1872,1005.35
11/1872,1008.41
12/1872,1004.68
01/1873,1010.35
02/1873,1011.92
03/1873,1002.17
04/1873,1004.24
05/1873,1005.93
06/1873,1006.6
07/1873,1007.56
08/1873,1008.39
09/1873,1008.7
10/1873,1005.99
11/1873,1005.37
12/1873,1014.33
01/1874,1011.81
02/1874,1010.94
03/1874,1012.78
04/1874,1007.24
05/1874,1003.54
06/1874,1008.03
07/1874,1007.22
08/1874,1006.33
09/1874,1007.64
10/1874,1007.8
11/1874,1008.55
12/1874,1008.79
01/1875,1014.99
02/1875,1005.06
03/1875,1006.54
04/1875,1006.76
05/1875,1005.56
06/1875,1008.84
07/1875,1007.71
08/1875,1007.73
09/1875,1007.6
10/1875,1006.6
11/1875,1006.59
12/1875,1008.55
01/1876,1011.5
02/1876,1009.83
03/1876,1006.08
04/1876,1008.26
05/1876,1004.19
06/1876,1007.6
07/1876,1006.79
08/1876,1006.79
09/1876,1007.69
10/1876,1002.6
11/1876,1002.6
12/1876,1001.81
01/1877,1011.12
02/1877,1014.08
03/1877,1005.3
04/1877,1002.04
05/1877,1003.67
06/1877,1005.93
07/1877,1007.2
08/1877,1006.1
09/1877,1003.56
10/1877,1010.07
11/1877,1009.53
12/1877,1013.54
01/1878,1016.07
02/1878,1014.34
03/1878,1009.64
04/1878,1005.03
05/1878,1004.8
06/1878,1007.05
07/1878,1005.87
08/1878,1005.22
09/1878,1005.98
10/1878,1004.84
11/1878,1003.76
12/1878,1005.2
01/1879,1008.21
02/1879,1007.23
03/1879,1005.46
04/1879,1005.21
05/1879,1007.69
06/1879,1008.15
07/1879,1007.8
08/1879,1006.14
09/1879,1008.33
10/1879,1006.57
11/1879,1004.63
12/1879,1012.45
01/1880,1013.39
02/1880,1008.29
03/1880,1006.99
04/1880,1004.6
05/1880,1002.14
06/1880,1008.72
07/1880,1007.89
08/1880,1004.9
09/1880,1008.43
10/1880,1005.16
11/1880,1010.03
12/1880,1014.62
01/1881,1000.01
02/1881,1004.66
03/1881,1002.59
04/1881,1000.75
05/1881,1007.76
06/1881,1007.14
07/1881,1006.83
08/1881,1006.94
09/1881,1007.52
10/1881,1005.05
11/1881,1012.36
12/1881,1013.09
01/1882,1017.64
02/1882,1015.89
03/1882,1012.72
04/1882,1007.2
05/1882,1004.3
06/1882,1008.45
07/1882,1007.3
08/1882,1007.76
09/1882,1007.36
10/1882,1008.2
11/1882,1013.47
12/1882,1006.98
01/1883,1010.43
02/1883,1013.82
03/1883,1001.67
04/1883,1004.12
05/1883,1004.27
06/1883,1007.53
07/1883,1007.74
08/1883,1007.79
09/1883,1008.91
10/1883,1009.48
11/1883,1011.22
12/1883,1012.87
01/1884,1017.21
02/1884,1006.81
03/1884,1002.51
04/1884,998.35
05/1884,1006.87
06/1884,1007.75
07/1884,1007.42
08/1884,1005.95
09/1884,1008.15
10/1884,1009.22
11/1884,1008.18
12/1884,1011.78
01/1885,1004.83
02/1885,1006.2
03/1885,1002.72
04/1885,1004.04
05/1885,1007.64
06/1885,1005.94
07/1885,1007.21
08/1885,1004.97
09/1885,1007.4
10/1885,1008.97
11/1885,1004.58
12/1885,1010.98
01/1886,1006.14
02/1886,1007.57
03/1886,1007.78
04/1886,1002.92
05/1886,1006.49
06/1886,1007.01
07/1886,1006.91
08/1886,1006.59
09/1886,1007.7
10/1886,1006.73
11/1886,1008.42
12/1886,1009
01/1887,1009.96
02/1887,1012.31
03/1887,1003.76
04/1887,1004.03
05/1887,1005.7
06/1887,1007.33
07/1887,1007.39
08/1887,1005.47
09/1887,1005.93
10/1887,1008.49
11/1887,1001.36
12/1887,1007
01/1888,1013.1
02/1888,1004.88
03/1888,1003.64
04/1888,1003.44
05/1888,1006.67
06/1888,1006.67
07/1888,1007.9
08/1888,1009.39
09/1888,1006.17
10/1888,1008.49
11/1888,1008.72
12/1888,1006.5
01/1889,1011.17
02/1889,1012.13
03/1889,1009.06
04/1889,1005.82
05/1889,1003.77
06/1889,1006.77
07/1889,1007.18
08/1889,1008.28
09/1889,1005.61
10/1889,1004.9
11/1889,1013.31
12/1889,1013.7
01/1890,1015.24
02/1890,1004.48
03/1890,1004.53
04/1890,1003.37
05/1890,1003.25
06/1890,1008.82
07/1890,1007.45
08/1890,1006.65
09/1890,1008.15
10/1890,1011.21
11/1890,1011.29
12/1890,1001.26
01/1891,1011.97
02/1891,1013.74
03/1891,1004.35
04/1891,1006.19
05/1891,1004.85
06/1891,1005.12
07/1891,1007.08
08/1891,1008.24
09/1891,1008.45
10/1891,1002.75
11/1891,1002.24
12/1891,1014.31
01/1892,1004.54
02/1892,1002.29
03/1892,1000.57
04/1892,1003.53
05/1892,1005.42
06/1892,1007.44
07/1892,1007.57
08/1892,1006.83
09/1892,1007.19
10/1892,1003.23
11/1892,1009.25
12/1892,1008.13
01/1893,1007.37
02/1893,1011.06
03/1893,1004
04/1893,1003.27
05/1893,1004.3
06/1893,1006.12
07/1893,1006.54
08/1893,1006.7
09/1893,1005.32
10/1893,1008.51
11/1893,1006.25
12/1893,1010.87
01/1894,1010.69
02/1894,1012.93
03/1894,1004.96
04/1894,1006.31
05/1894,1005.22
06/1894,1007.95
07/1894,1008.41
08/1894,1007.1
09/1894,1007.64
10/1894,1003.75
11/1894,1008.06
12/1894,1012.21
01/1895,1003.11
02/1895,995.69
03/1895,1004.24
04/1895,1003.05
05/1895,1006.41
06/1895,1007.05
07/1895,1007.52
08/1895,1007.66
09/1895,1006.51
10/1895,1003.59
11/1895,1008.24
12/1895,1007.72
01/1896,1012.98
02/1896,1012.69
03/1896,1009.11
04/1896,1009.74
05/1896,1005.25
06/1896,1007.07
07/1896,1007.28
08/1896,1006.65
09/1896,1008.34
10/1896,1006.83
11/1896,1007.99
12/1896,1010.81
01/1897,1003.7
02/1897,1017.08
03/1897,1012.39
04/1897,1007.92
05/1897,1003.98
06/1897,1007.43
07/1897,1006.62
08/1897,1008.55
09/1897,1009.28
10/1897,1006.59
11/1897,1008.4
12/1897,1010.9
01/1898,1013.99
02/1898,1012.66
03/1898,1001.13
04/1898,1007.29
05/1898,1005.56
06/1898,1006.74
07/1898,1006.12
08/1898,1007.82
09/1898,1006.63
10/1898,1005.05
11/1898,1003.31
12/1898,1017.05
01/1899,1011.37
02/1899,1002.84
03/1899,1005.64
04/1899,1009.05
05/1899,1006.65
06/1899,1006.94
07/1899,1007.66
08/1899,1006.1
09/1899,1007.21
10/1899,1005.68
11/1899,1011.41
12/1899,1007.79
01/1900,1013.4
02/1900,1001.7
03/1900,1005.26
04/1900,1009.25
05/1900,1004.85
06/1900,1007.56
07/1900,1006.72
08/1900,1006.49
09/1900,1006.91
10/1900,1008.39
11/1900,1008.72
12/1900,1016.05
01/1901,1010.23
02/1901,1006.02
03/1901,1003.56
04/1901,1006.99
05/1901,1005.57
06/1901,1006.67
07/1901,1005.68
08/1901,1007.04
09/1901,1006.29
10/1901,1007.36
11/1901,1007.36
12/1901,1006.55
01/1902,1015.67
02/1902,1000.81
03/1902,1006.83
04/1902,1002.59
05/1902,1009.01
06/1902,1005.71
07/1902,1007.26
08/1902,1006.73
09/1902,1007.53
10/1902,1007.61
11/1902,1004.72
12/1902,1012.57
01/1903,1010.22
02/1903,1017.68
03/1903,1012.21
04/1903,1004.27
05/1903,1005.02
06/1903,1006.29
07/1903,1007.88
08/1903,1008.73
09/1903,1008.23
10/1903,1008.62
11/1903,1012.01
12/1903,1004.09
01/1904,1013.18
02/1904,1008.26
03/1904,1003.31
04/1904,1006.9
05/1904,1007.78
06/1904,1007.14
07/1904,1008.68
08/1904,1008.38
09/1904,1006.33
10/1904,1006.86
11/1904,1009.37
12/1904,1011.76
01/1905,1014.88
02/1905,1016.08
03/1905,1009.56
04/1905,1005.71
05/1905,1005.78
06/1905,1005.49
07/1905,1006.6
08/1905,1008.66
09/1905,1007.66
10/1905,1006.05
11/1905,1006.41
12/1905,1012.53
01/1906,1015.15
02/1906,1011.69
03/1906,1006.92
04/1906,1006.36
05/1906,1004.51
06/1906,1006.83
07/1906,1007.56
08/1906,1008
09/1906,1006.78
10/1906,1007.18
11/1906,1010.05
12/1906,1012.45
01/1907,1016.03
02/1907,1010.24
03/1907,1012.4
04/1907,1005.56
05/1907,1003.91
06/1907,1008.41
07/1907,1008.13
08/1907,1007.71
09/1907,1006.92
10/1907,1005.03
11/1907,1003.42
12/1907,1009.17
01/1908,1010.16
02/1908,1016.19
03/1908,1009.33
04/1908,1005.58
05/1908,1007.19
06/1908,1006.79
07/1908,1008.34
08/1908,1007.19
09/1908,1008.64
10/1908,1007.25
11/1908,1006.23
12/1908,1011.82
01/1909,1012.95
02/1909,1007.61
03/1909,1002.48
04/1909,1005.78
05/1909,1005.4
06/1909,1008.48
07/1909,1008.38
08/1909,1007.09
09/1909,1007.16
10/1909,1008.79
11/1909,1003.07
12/1909,1006.14
01/1910,1015.79
02/1910,1013.53
03/1910,1007.39
04/1910,1006.55
05/1910,1003.83
06/1910,1006.9
07/1910,1006.83
08/1910,1008.18
09/1910,1006.83
10/1910,1006.27
11/1910,1010.44
12/1910,1006.71
01/1911,1013.61
02/1911,1013.87
03/1911,1004.19
04/1911,1006.94
05/1911,1005.11
06/1911,1008.45
07/1911,1007.33
08/1911,1006.85
09/1911,1008.92
10/1911,1006.58
11/1911,1006.6
12/1911,1012.37
01/1912,1006.82
02/1912,1001
03/1912,1010.69
04/1912,1006.79
05/1912,1007.62
06/1912,1007.74
07/1912,1006.77
08/1912,1008.74
09/1912,1006.48
10/1912,1007.99
11/1912,1012.06
12/1912,1013.7
01/1913,1010.16
02/1913,1010.91
03/1913,1008.83
04/1913,1005.49
05/1913,1006.28
06/1913,1008.75
07/1913,1006.76
08/1913,1006.55
09/1913,1004.42
10/1913,1003.14
11/1913,1013.7
12/1913,1013.42
01/1914,1011.18
02/1914,1006.77
03/1914,1012.31
04/1914,1006.89
05/1914,1009.08
06/1914,1007.06
07/1914,1006.86
08/1914,1007.44
09/1914,1008.49
10/1914,1006.77
11/1914,1004.4
12/1914,1010.19
01/1915,1009.11
02/1915,1009.58
03/1915,1002.3
04/1915,1009.38
05/1915,1003.8
06/1915,1007.65
07/1915,1007.17
08/1915,1007.35
09/1915,1008.18
10/1915,1007.41
11/1915,1004.3
12/1915,1007.73
01/1916,1018.36
02/1916,1010.22
03/1916,996.73
04/1916,1005.94
05/1916,1005.02
06/1916,1006.07
07/1916,1006.55
08/1916,1006.91
09/1916,1005.43
10/1916,1011.18
11/1916,1006.51
12/1916,1003.47
01/1917,1003.29
02/1917,1003.67
03/1917,1006.75
04/1917,1005.6
05/1917,1004.72
06/1917,1008.21
07/1917,1008.11
08/1917,1007.3
09/1917,1009.18
10/1917,1010.48
11/1917,1013.85
12/1917,1007.26
01/1918,1007.24
02/1918,1016.06
03/1918,1006.81
04/1918,1003.06
05/1918,1005.78
06/1918,1008.28
07/1918,1008.01
08/1918,1007.62
09/1918,1008.48
10/1918,1009.27
11/1918,1007.4
12/1918,1016.54
01/1919,1009.12
02/1919,1004.28
03/1919,1008.91
04/1919,1007.21
05/1919,1007.62
06/1919,1008.01
07/1919,1006.66
08/1919,1009.56
09/1919,1006.16
10/1919,1009.14
11/1919,1005.54
12/1919,1015.04
01/1920,1015.05
02/1920,1009.42
03/1920,1010.73
04/1920,1006.32
05/1920,1005.14
06/1920,1006.8
07/1920,1008.24
08/1920,1006.77
09/1920,1007.31
10/1920,1005.56
11/1920,1008.37
12/1920,1008.72
01/1921,1017.17
02/1921,1007.21
03/1921,1010.2
04/1921,1005.66
05/1921,1005.33
06/1921,1006.73
07/1921,1006.66
08/1921,1006.43
09/1921,1005.92
10/1921,1007.36
11/1921,1006.34
12/1921,1014.84
01/1922,1009.3
02/1922,1009.94
03/1922,1007.15
04/1922,1009.41
05/1922,1008.23
06/1922,1006.46
07/1922,1008.89
08/1922,1006.17
09/1922,1008.22
10/1922,1001.01
11/1922,1011.88
12/1922,1011.86
01/1923,1016.81
02/1923,1009.42
03/1923,1007.28
04/1923,1002.24
05/1923,1006.8
06/1923,1007.58
07/1923,1007.78
08/1923,1007.44
09/1923,1009.91
10/1923,1007.13
11/1923,1004.86
12/1923,1015.66
01/1924,1008.54
02/1924,1004.36
03/1924,1000.13
04/1924,1005.63
05/1924,1005.53
06/1924,1007.34
07/1924,1007.54
08/1924,1006.7
09/1924,1006.95
10/1924,1008.07
11/1924,1007.1
12/1924,1013.09
01/1925,1018.8
02/1925,1010.36
03/1925,1005.57
04/1925,1008.15
05/1925,1006.69
06/1925,1004.91
07/1925,1007.4
08/1925,1007.5
09/1925,1007.72
10/1925,1006.5
11/1925,1005.07
12/1925,1007.67
01/1926,1011.92
02/1926,1007.83
03/1926,1008.26
04/1926,1007.19
05/1926,1005.88
06/1926,1007.03
07/1926,1006.38
08/1926,1007.21
09/1926,1008.29
10/1926,1003.23
11/1926,1005.47
12/1926,1012.03
01/1927,1014.53
02/1927,1010.28
03/1927,1011.67
04/1927,1008.83
05/1927,1004.84
06/1927,1006.62
07/1927,1008.35
08/1927,1008.01
09/1927,1007.63
10/1927,1006.43
11/1927,1006.48
12/1927,1002.36
01/1928,1016.43
02/1928,1015.29
03/1928,1003.87
04/1928,1002.78
05/1928,1004.03
06/1928,1005.38
07/1928,1007.29
08/1928,1006.68
09/1928,1005.65
10/1928,1010
11/1928,1011.78
12/1928,1012.01
01/1929,1011.42
02/1929,1006.7
03/1929,1007.44
04/1929,1002.26
05/1929,1007.54
06/1929,1007.59
07/1929,1007.96
08/1929,1006.84
09/1929,1007.15
10/1929,1008.74
11/1929,1009.29
12/1929,1013.36
01/1930,1008.61
02/1930,1008.46
03/1930,1006.33
04/1930,1001.68
05/1930,1008.57
06/1930,1006.1
07/1930,1006.89
08/1930,1007.9
09/1930,1008.31
10/1930,1009.39
11/1930,1010.65
12/1930,1010.51
01/1931,1011.73
02/1931,1012.87
03/1931,1000.68
04/1931,1004.74
05/1931,1006.27
06/1931,1007.37
07/1931,1007.42
08/1931,1007.13
09/1931,1006.9
10/1931,1007.83
11/1931,1008.75
12/1931,1014.5
01/1932,1017.27
02/1932,1007.02
03/1932,1003.49
04/1932,1007.85
05/1932,1007.82
06/1932,1006.72
07/1932,1006.4
08/1932,1007.27
09/1932,1005.68
10/1932,1009.2
11/1932,1009.4
12/1932,1007.94
01/1933,1008.93
02/1933,1008.13
03/1933,1008.05
04/1933,1008.44
05/1933,1006.07
06/1933,1006.52
07/1933,1008.59
08/1933,1007.25
09/1933,1007.19
10/1933,1005.81
11/1933,1003.5
12/1933,1007.45
01/1934,1017.46
02/1934,1012.85
03/1934,1005.93
04/1934,1002.86
05/1934,1006.43
06/1934,1006.57
07/1934,1006.06
08/1934,1007.52
09/1934,1009.29
10/1934,1010.17
11/1934,1006.8
12/1934,1009.36
